ID,YN1,YN2,YN3,AN1,AN2,AN3,SN2.1,SN2.2,SN2.3,YR1,YR2,YR3,AR1,AR2,AR3,SR1,SR2,SR3,YCK1,YCK2,YCK3,ACK1,ACK2,ACK3,SCK2.1,SCK2.2,SCK2.3,
Parasutterella,0,0,0,0.002680615,0.004191115,0.00085285,0.004531859,0.004269634,0.001334096,0.00347174,0.002646836,0.00254972,0.000282247,0.003020713,0.003594536,0.000871514,0.001231527,0.001941969,0.004815409,0.011006046,0.009161818,0,0.000892538,0.001013,0.034477242,0.010782392,0.011999278,
Parvibacter,0,0,0,0,0,0,0.001631469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Parviterribacter,0,0,0,0,0,0,0,0,0,0.002083044,0.00025208,0.000254972,0.000282247,0.000719217,0.000359454,0.000373506,0.000684182,0.001599269,0.003210273,0.006200589,0.006438034,0.001803194,0.008211353,0.005402668,7.99936E-05,0.000445553,0,
Patulibacter,0,0,6.25234E-05,0,0,0,0,0,0,0,0,0,0,0.000575374,0,0.000249004,0,0,0,0,0,0.000901597,0,0,0,0,0,
Pediococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004459148,0,0,0,0,0,0,0,0.014940752,0.026776151,0.007681918,0,0,0,
Pedobacter,0,0,0,0,0,0,0,0,0,0.000416609,0,0.00127486,0,0,0,0,0,0.001256568,0,0.003100295,0.001114275,0.001287996,0,0.00025325,0.000799936,0.001693103,0.001623962,
Pedomicrobium,0,0.000566145,0,0,0.000322393,0.000524831,0,0,0,0.003888349,0.009957146,0.005226925,0.007761784,0.004602992,0.002635993,0.005104582,0.003694581,0.002398903,0.00176565,0,0,0,0.000892538,0,0.000239981,0,0,
Pelagibacterium,0,0,0,0,0,0,0,0,0,0,0.000378119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pelolinea,0,0,0,0,0,0,0,0,0,0,0,0.000127486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pelomonas,0.000311507,0,0.001375516,0,0,0,0,0.00090568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pelosinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Peptoclostridium,0,0.000754859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Peptococcus,0,0,0,0.000392285,0,0,0,0,0,0,0.00025208,0.000127486,0,0,0,0,0.001231527,0,0,0,0,0,0,0,0,0,0,
Peptostreptococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000119818,0,0,0,0,0,0,0,0,0.00025325,0,0,0,
Peredibacter,0,0,0,0,0,0,0,0.000129383,0,0,0,0,0,0,0,0,0,0,0,0.001550147,0.000866658,0.004636785,0,0.005065001,0.002799776,0.00267332,0.003879466,
Phaeobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001142335,0,0,0,0,0,0,0,0,0,
Phaeodactylibacter,0,0,0,0,0,0,0,0,0,0,0,0.000127486,0.000564493,0,0,0.000249004,0,0,0,0,0,0,0,0,0,0,0,
Phascolarctobacterium,0,0,0,0.000457666,0.000451351,0,0.001722106,0.005951611,0.001016454,0.000277739,0.001134358,0,0,0.000575374,0.005871076,0,0,0,0,0.000620059,0,0,0.001606569,8.44167E-05,0.001839853,0.00258421,0.003879466,
Phaselicystis,0,0.00062905,0,0,0.000257915,0,0,0,0,0.002638522,0.001134358,0.001019888,0.0042337,0.003452244,0.002396358,0.002116534,0.001642036,0.001599269,0.000642055,0.000620059,0,0,0,0.000168833,0,0,0,
Phenylobacterium,0.000373808,0.000188715,0,0,0,0.000196812,0,0,0,0.002083044,0.002142677,0.001019888,0.0042337,0.002013809,0.003474718,0.000747012,0.001778872,0.003084304,0.001926164,0.000775074,0.000371425,0.000901597,0,0.00126625,0.000159987,0,0.000902201,
Phocea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000310029,0,0,0,0,0,0,0,
Phormidesmis ANT.L52.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001361892,0.001545595,0,0.001435084,0.003599712,0.007574407,0.006225189,
Phormidium SAG 37.90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000990467,0.000515198,0,0,0.001519878,0.002316878,0.002345724,
Photobacterium,0,0,0,0,0,0,0,0,6.35284E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.02201E-05,
Phreatobacter,0,0,0,0,0,0,0,0,0,0.000277739,0.00025208,0.001147374,0.00042337,0.000143843,0,0,0,0.0003427,0.000321027,0,0.000247617,0,0,0,7.99936E-05,0,0,
Phycicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0.000705617,0,0.001797268,0,0,0.000228467,0,0,0,0,0,0,0,0,0,
Phyllobacterium,0.001246028,0.001509719,0.000687758,0,0.00096718,0.000787247,0,0.002070126,0.001016454,0.000694348,0.008318629,0.012621112,0.007761784,0.005466053,0.003115265,0.00186753,0.007389163,0.004112406,0.000963082,0,0,0,0,0,0,0,0,
Phytohabitans,0.00043611,0.001698434,0,0,0.000322393,0.000524831,0,0,0,0.002499653,0.001260398,0.002294748,0.001975727,0.0033084,0.005391804,0.004108566,0.002599891,0.00228467,0.003370787,0.001705162,0,0,0.002142092,0,0,0,0,
Phytomonospora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000160514,0,0.000866658,0,0,0,0,0,0,
Pir4 lineage,0,0,0,0,0,0,0,0,0,0.000833218,0.000756239,0,0,0,0,0.000124502,0,0,0.000160514,0,0,0,0,0,0,0,0,
Pirellula,0,0,0,0,0,0,0,0,0,0,0.00025208,0.000127486,0,0,0,0.000373506,0,0,0.002247191,0.000620059,0,0.0001288,0.003391646,0,0.000319974,0,0,
Piscinibacter,0,0,0.001438039,0,0,0,0,0.001293828,0,0.000694348,0.001134358,0,0,0,0,0.000747012,0,0,0.002728732,0,0,0,0,0,0,0,0,
Planctomicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0.000141123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Planctopirus,0,0,0,0,0,0,0,0,0,0,0,0.000127486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Planifilum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000160514,0,0,0,0,0,0,0,0,
Planococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000228467,0,0,0,0,0,0,0,0,0,
Planomonospora,0,0,0,0,0,0,0.000181274,0,0,0,0,0,0,0,0,0,0.000821018,0.000114233,0,0,0,0,0,0,0,0,0,
