"source","target","weight","correlation","cor"
"AAP99","JTB255 marine benthic group",0.966002242771746,0.966002242771746,1
"AAP99","Lautropia",0.934621828118383,0.934621828118383,1
"AAP99","Legionella",0.91111579441073,0.91111579441073,1
"AAP99","Longivirga",0.975096651413168,0.975096651413168,1
"AAP99","Methylovirgula",0.897638953410118,0.897638953410118,1
"AAP99","Nitrospira",0.93588056724028,0.93588056724028,1
"AAP99","OLB12",0.917766406070516,0.917766406070516,1
"AAP99","Ottowia",0.933297219080734,0.933297219080734,1
"AAP99","Polymorphobacter",0.920853642692511,0.920853642692511,1
"AAP99","SCGC-AB-539-J10",0.996954445233373,0.996954445233373,1
"AAP99","Sulfuritalea",0.919414534386901,0.919414534386901,1
"AAP99","Tabrizicola",0.938054043796269,0.938054043796269,1
"AAP99","Tetrasphaera",0.987444898863995,0.987444898863995,1
"AAP99","Thermomonas",0.985685428328418,0.985685428328418,1
"AAP99","Thiothrix",0.909259221871898,0.909259221871898,1
"AAP99","Truepera",0.951786459331223,0.951786459331223,1
"AAP99","Woeseia",0.928493958973064,0.928493958973064,1
"Acidovorax","Aquabacterium",0.96489069928508,0.96489069928508,1
"Acidovorax","BD1-7 clade",0.934636700339167,0.934636700339167,1
"Acidovorax","Candidatus Accumulibacter",0.964102725442883,0.964102725442883,1
"Acidovorax","Candidatus Ovatusbacter",0.920519838151325,0.920519838151325,1
"Acidovorax","Clostridium sensu stricto 13",0.962742643511179,0.962742643511179,1
"Acidovorax","Desulforhopalus",0.897582041440171,0.897582041440171,1
"Acidovorax","Geothrix",0.906427330003632,0.906427330003632,1
"Acidovorax","Lautropia",0.948003860893265,0.948003860893265,1
"Acidovorax","Legionella",0.949529715254198,0.949529715254198,1
"Acidovorax","Longivirga",0.921755073225908,0.921755073225908,1
"Acidovorax","Proteiniclasticum",0.920519838151325,0.920519838151325,1
"Acidovorax","SCGC-AB-539-J10",0.942739310418673,0.942739310418673,1
"Acidovorax","Tetrasphaera",0.908047937596167,0.908047937596167,1
"Acidovorax","Thermomonas",0.972493002415568,0.972493002415568,1
"Acidovorax","Truepera",0.960656295921081,0.960656295921081,1
"Acidovorax","Woeseia",0.908394320449601,0.908394320449601,1
"Acinetobacter","Escherichia-Shigella",0.900661750883683,0.900661750883683,1
"Acinetobacter","Fusicatenibacter",0.911125620663249,0.911125620663249,1
"Acrocarpospora","Amycolatopsis",0.990554849685543,0.990554849685543,1
"Acrocarpospora","Marmoricola",0.919762611635641,0.919762611635641,1
"Acrocarpospora","Micromonospora",0.96241138208585,0.96241138208585,1
"Actinocorallia","Mycobacterium",0.901479855351247,0.901479855351247,1
"Actinocorallia","Saccharothrix",0.908886024068323,0.908886024068323,1
"Actinomyces","Candidatus Chlorothrix",0.945033654054856,0.945033654054856,1
"Actinomycetospora","Aridibacter",0.917266977151994,0.917266977151994,1
"Actinomycetospora","Asanoa",0.933742371461051,0.933742371461051,1
"Actinophytocola","Jiangella",0.901851471722754,-0.901851471722754,-1
"Actinoplanes","Candidatus Entotheonella",0.908992074352562,0.908992074352562,1
"Actinoplanes","Desulfosarcina",0.971271376537289,0.971271376537289,1
"Actinoplanes","Dethiobacter",0.949793936775132,0.949793936775132,1
"Actinoplanes","Flindersiella",0.898695787074685,0.898695787074685,1
"Actinoplanes","21551",0.905200711975196,0.905200711975196,1
"Actinoplanes","Lysinibacillus",0.951531749725181,0.951531749725181,1
"Actinoplanes","Oxalobacter",0.94597715991007,0.94597715991007,1
