,ACK1,ACK2,ACK3,AN1,AN2,AN3,AR1,AR2,AR3,SCK2.1,SCK2.2,SCK2.3,SN2.1,SN2.2,SN2.3,SR1,SR2,SR3,YCK1,YCK2,YCK3,YN1,YN2,YN3,YR1,YR2,YR3
ASV_69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1515,0,0,0,0,0,0,0,0,0
ASV_70,0,31,0,0,5,21,62,94,70,0,0,0,0,0,0,68,87,172,74,14,0,22,30,34,100,418,211
ASV_71,0,0,0,0,0,0,177,230,201,0,0,0,0,0,0,233,172,82,0,0,0,0,0,0,112,179,90
ASV_72,55,63,168,0,0,0,0,0,0,211,186,301,0,0,0,0,0,0,0,150,340,0,0,0,0,0,0
ASV_73,0,75,0,0,30,15,144,282,203,0,0,0,0,0,0,75,56,148,39,106,0,0,0,0,27,91,178
ASV_74,0,0,0,0,0,0,0,0,0,236,226,563,0,177,224,0,0,0,0,0,9,0,0,0,0,26,0
ASV_75,36,0,0,0,0,0,88,122,112,0,0,0,0,0,0,0,70,117,19,26,0,0,18,0,0,517,325
ASV_76,0,0,20,0,0,0,0,0,0,414,465,517,0,0,0,0,0,0,0,10,24,0,0,0,0,0,0
ASV_77,115,45,73,0,0,0,0,0,0,159,186,350,0,0,0,0,0,0,34,32,432,0,0,0,0,0,0
ASV_78,36,0,0,0,0,0,74,0,41,559,42,137,0,348,105,0,0,0,0,0,0,0,43,0,0,39,0
ASV_79,391,462,25,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,24,456,0,0,0,0,0,0
ASV_80,3,32,0,0,16,12,57,164,50,0,0,0,0,0,0,87,135,168,180,0,0,0,0,0,112,172,192
ASV_81,0,0,0,0,354,32,61,108,61,0,0,0,0,115,0,75,91,148,0,59,0,0,29,97,36,43,57
ASV_82,0,35,0,0,0,13,52,176,147,0,0,0,0,0,0,45,292,194,76,18,0,0,0,0,56,140,97
